"","X","address","lon","lat"
"1","V9","191186, г.Санкт-Петербург, Невский проспект, д. 20, литера А",30.3219437,59.9360843
"2","V13","191014, г.Санкт-Петербург, улица Маяковского, д. 11, литера А",30.355134,59.9371163
"3","V13","191014, г.Санкт-Петербург, улица Маяковского, д. 11, литера А",30.355134,59.9371163
"4","V19","198013, г.Санкт-Петербург, Можайская улица, д. 45, литера Б",30.3298989,59.9135647
"5","V26","191119, г.Санкт-Петербург, Лиговский проспект, д. 119, литера В",30.352282,59.91886
"6","V35","192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",30.3874004,59.8543826
"7","V38","197101, г.Санкт-Петербург, Большой  проспект П.С., д. 61/3, литера А",30.2918515,59.9530768
"8","V42","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",30.3375562,59.9346057
"9","V46","191187, г.Санкт-Петербург, Литейный проспект, д. 11, литера А",30.347514,59.945118
"10","V58","198152, г.Санкт-Петербург, проспект Стачек, д. 74/1, литера А",30.2741161,59.8990268
"11","V59","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"12","V61","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"13","V76","196653, Санкт-Петербург, город Колпино, Павловская улица, д. 15а, литера А",30.586658,59.747692
"14","V79","г.Санкт-Петербург, проспект Стачек, д. 75, литера А",30.259362,59.867189
"15","V84","191186, г.Санкт-Петербург, Невский проспект, д. 19, литера А",30.3215562,59.9357268
"16","V86","191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",30.328878,59.934162
"17","V91","191023, г.Санкт-Петербург, Мучной переулок, д. 2, литера Г",30.3233392,59.9300065
"18","V92","191011, г.Санкт-Петербург, набережная канала Грибоедова, д. 28/1, литера А",30.3258119,59.9326038
"19","V96","199026, г.Санкт-Петербург, Большой проспект В.О., д. 62, литера В",30.259021,59.9321413
"20","V100","197022, г.Санкт-Петербург, Каменноостровский проспект, д. 35/75, литера А",30.303785,59.975386
"21","V100","197022, г.Санкт-Петербург, Каменноостровский проспект, д. 35/75, литера А",30.303785,59.975386
"22","V118","191104, г.Санкт-Петербург, Литейный проспект, д. 53, литера А",30.347621,59.936304
"23","V130","191011, г.Санкт-Петербург, улица Зодчего Росси, д. 1-3, литера А",30.335041,59.930099
"24","V134","198264, г.Санкт-Петербург, улица Летчика Пилютова, д. 34, к. 2, литера А",30.141117,59.836869
"25","V145","195248, г.Санкт-Петербург, Партизанская улица, д. 8, литера Б",30.442582,59.948435
"26","V148","197342, г.Санкт-Петербург, Сердобольская улица, д. 35, литера Б",30.316808,59.989681
"27","V152","195009, г.Санкт-Петербург, улица Комсомола, д. 16, литера А",30.357869,59.95476
"28","V155","192241, г.Санкт-Петербург, Пражская улица, д. 35, литера А",30.39921,59.864247
"29","V156","191014, г.Санкт-Петербург, улица Маяковского, д. 23/6, литера А",30.355595,59.939832
"30","V170","193024, г.Санкт-Петербург, Невский проспект, д. 158, литера А",30.375261,59.927458
"31","V176","190031, г.Санкт-Петербург, Садовая улица, д. 40, литера Б",30.3203127,59.9276653
"32","V180","193171, г.Санкт-Петербург, переулок Матюшенко, д. 10, литера А",30.441649,59.876188
"33","V189","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",30.3375562,59.9346057
"34","V191","191028, г.Санкт-Петербург, Литейный проспект, д. 24, литера А",30.348903,59.942496
"35","V211","191011, г.Санкт-Петербург, Караванная улица, д. 8, литера А",30.3418212,59.936794
"36","V217","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"37","V231","191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",30.328878,59.934162
"38","V232","198103, г.Санкт-Петербург, 8-я Красноармейская улица, д. 15-17, литера Б",30.3007868,59.9145558
"39","V233","195027, г.Санкт-Петербург, Миронова улица, д. 7, литера А",30.412072,59.952777
"40","V234","191186, г.Санкт-Петербург, Малая Конюшенная улица, д. 16/26, литера А",30.32524,59.9360137
"41","V239","198005, г.Санкт-Петербург, Московский проспект, д. 49, литера А",30.3178841,59.911516
"42","V240","199178, г.Санкт-Петербург, 11-я линия В.О., д. 34/47, литера А",30.2728815,59.9418948
"43","V241","191104, г.Санкт-Петербург, улица Маяковского, д. 50, литера А",30.3550751,59.9428207
"44","V250","190000, г.Санкт-Петербург, Большая Морская улица, д. 25, литера А",30.312857,59.934176
"45","V255","191014, г.Санкт-Петербург, Литейный проспект, д. 37-39, литера А",30.346992,59.940354
"46","V273","199048, г.Санкт-Петербург, 13-я линия В.О., д. 58-60, литера Д",30.2667934,59.9442105
"47","V288","197198, г.Санкт-Петербург, Большой  проспект П.С., д. 31, литера А",30.3009823,59.958768
"48","V288","197198, г.Санкт-Петербург, Большой  проспект П.С., д. 31, литера А",30.3009823,59.958768
"49","V294","192281, г.Санкт-Петербург, Купчинская улица, д. 15, к. 1, литера Г",30.383907,59.838658
"50","V295","191002, г.Санкт-Петербург, улица Рубинштейна, д. 9/3, литера А",30.3447397,59.9303888
"51","V299","191028, г.Санкт-Петербург, Литейный проспект, д. 22, литера А",30.348975,59.943139
"52","V301","г.Санкт-Петербург, проспект Стачек, д. 41, литера А",30.267563,59.88693
"53","V310","191025, г.Санкт-Петербург, Невский проспект, д. 88, литера А",30.3519384,59.932425
"54","V315","190000, г.Санкт-Петербург, Большая Морская улица, д. 47, литера А",30.3049556,59.9318464
"55","V315","190000, г.Санкт-Петербург, Большая Морская улица, д. 47, литера А",30.3049556,59.9318464
"56","V326","193171, г.Санкт-Петербург, проспект Обуховской Обороны, д. 131, литера В",30.442237,59.886649
"57","V344","191119, г.Санкт-Петербург, Лиговский проспект, д. 107, литера А",30.3536064,59.9209108
"58","V346","191028, г.Санкт-Петербург, Моховая улица, д. 20, литера А",30.3455941,59.9435602
"59","V358","199034, г.Санкт-Петербург, Университетская набережная, д. 21, литера В",30.288027,59.937018
"60","V375","198329, г.Санкт-Петербург, улица Партизана Германа, д. 22, литера Б",30.1754977,59.840379
"61","V393","190008, г.Санкт-Петербург, Садовая улица, д. 101, литера А",30.2893902,59.9190525
"62","V394","196105, г.Санкт-Петербург, Московский проспект, д. 186, литера А",30.3207532,59.8727751
"63","V400","191180, г.Санкт-Петербург, Большой Казачий переулок, д. 1/61, литера А",30.3283954,59.923858
"64","V404","197198, г.Санкт-Петербург, Введенская улица, д. 22, литера А",30.3068394,59.9553895
"65","V406","197110, г.Санкт-Петербург, Большая Зеленина улица, д. 13, литера А",30.2924403,59.9613932
"66","V410","191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера Е",30.357466,59.924388
"67","V414","г.Санкт-Петербург, Ленинский проспект, д. 57, к. 1, литера А",30.1757617,59.8616705
"68","V416","197101, г.Санкт-Петербург, Каменноостровский проспект, д. 26-28, литера А",30.313908,59.962235
"69","V416","197101, г.Санкт-Петербург, Каменноостровский проспект, д. 26-28, литера А",30.313908,59.962235
"70","V419","198013, г.Санкт-Петербург, Верейская улица, д. 48, литера А",30.329418,59.913402
"71","V421","Санкт-Петербург, город Петергоф, Эрлеровский  бульвар, д. 12/2, литера Б",29.91381,59.871995
"72","V421","Санкт-Петербург, город Петергоф, Эрлеровский  бульвар, д. 12/2, литера Б",29.91381,59.871995
"73","V424","196084, г.Санкт-Петербург, Московский проспект, д. 81, литера А",30.318281,59.898035
"74","V427","191180, г.Санкт-Петербург, Загородный проспект, д. 37/70, литера А",30.3322161,59.9225126
"75","V434","191119, г.Санкт-Петербург, Звенигородская улица, д. 28, литера А",30.342132,59.918229
"76","V445","191025, г.Санкт-Петербург, улица Маяковского, д. 6, литера А",30.353911,59.93311
"77","V460","197101, г.Санкт-Петербург, Большая Зеленина улица, д. 3, литера А",30.2954457,59.9597307
"78","V468","198259, г.Санкт-Петербург, проспект Ветеранов, д. 160, литера А",30.144248,59.834982
"79","V472","г.Санкт-Петербург, проспект Стачек, д. 84, к. 1, литера А",30.259972,59.8708005
"80","V473","191023, г.Санкт-Петербург, Гороховая улица, д. 32, литера А",30.320883,59.929771
"81","V473","191023, г.Санкт-Петербург, Гороховая улица, д. 32, литера А",30.320883,59.929771
"82","V481","191002, г.Санкт-Петербург, улица Рубинштейна, д. 12, литера А",30.344587,59.9289782
