"","address","lon","lat"
"1","191126, г.Санкт-Петербург, Загородный проспект, д. 36, литера А",30.3377898,59.9241529
"2","195009, г.Санкт-Петербург, улица Комсомола, д. 33, литера А",30.3581873,59.9549871
"3","191104, г.Санкт-Петербург, улица Жуковского, д. 7-9, литера А",30.351413,59.935795
"4","191025, г.Санкт-Петербург, улица Маяковского, д. 2/94, литера А",30.353661,59.93244
"5","191123, г.Санкт-Петербург, Кирочная улица, д. 23, литера А",30.3616727,59.9436674
"6","191104, г.Санкт-Петербург, Литейный проспект, д. 46, литера А",30.348631,59.937578
"7","191119, г.Санкт-Петербург, Коломенская улица, д. 35-37, литера А",30.35143,59.921697
"8","191186, г.Санкт-Петербург, Невский проспект, д. 20, литера А",30.3219437,59.9360843
"9","191186, г.Санкт-Петербург, Невский проспект, д. 20, литера А",30.3219437,59.9360843
"10","191011, г.Санкт-Петербург, Караванная улица, д. 6, литера А",30.341719,59.937011
"11","191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера Г",30.357466,59.924388
"12","193036, г.Санкт-Петербург, Невский проспект, д. 140, литера А",30.368741,59.929787
"13","191014, г.Санкт-Петербург, улица Маяковского, д. 11, литера А",30.355134,59.9371163
"14","192241, г.Санкт-Петербург, Пражская улица, д. 35, литера А",30.39921,59.864247
"15","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 20",30.3375562,59.9346057
"16","г.Санкт-Петербург, Садовая улица, д. 28-30, к. 26",30.3291386,59.9313147
"17","191025, г.Санкт-Петербург, улица Маяковского, д. 1/96, литера А",30.3542375,59.9324235
"18","191040, г.Санкт-Петербург, Лиговский проспект, д. 47, литера А",30.3598295,59.929816
"19","198013, г.Санкт-Петербург, Можайская улица, д. 45, литера Б",30.3298989,59.9135647
"20","190068, г.Санкт-Петербург, Садовая улица, д. 49, литера А",30.3125315,59.9247639
"21","193019, г.Санкт-Петербург, проспект Обуховской Обороны, д. 17, литера А",30.4010077,59.9169428
"22","193019, г.Санкт-Петербург, проспект Обуховской Обороны, д. 17, литера А",30.4010077,59.9169428
"23","193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 73, литера А",30.424768,59.901857
"24","193029, г.Санкт-Петербург, проспект Обуховской Обороны, д. 87, литера А",30.428292,59.899669
"25","198259, г.Санкт-Петербург, проспект Ветеранов, д. 160, литера А",30.144248,59.834982
"26","191119, г.Санкт-Петербург, Лиговский проспект, д. 119, литера В",30.352282,59.91886
"27","195043, г.Санкт-Петербург, Камышинская улица, д. 15, литера И",30.5142968,59.9801444
"28","191104, г.Санкт-Петербург, улица Маяковского, д. 36-38, литера А",30.354893,59.940309
"29","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 40",30.3375562,59.9346057
"30","191011, г.Санкт-Петербург, набережная реки Фонтанки, д. 51-53, литера А",30.3376755,59.9297947
"31","191014, г.Санкт-Петербург, улица Жуковского, д. 10, литера А",30.352236,59.93612
"32","191023, г.Санкт-Петербург, Гороховая улица, д. 32, литера А",30.320883,59.929771
"33","191040, г.Санкт-Петербург, Лиговский проспект, д. 53, литера А",30.3592878,59.9292513
"34","191023, г.Санкт-Петербург, Гороховая улица, д. 50, литера А",30.326017,59.925978
"35","192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",30.3874004,59.8543826
"36","192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",30.3874004,59.8543826
"37","192007, г.Санкт-Петербург, Лиговский проспект, д. 161, литера А",30.34893,59.91395
"38","197101, г.Санкт-Петербург, Большой  проспект П.С., д. 61/3, литера А",30.2918515,59.9530768
"39","191104, г.Санкт-Петербург, улица Чехова, д. 10, литера Г",30.352451,59.93781
"40","191023, г.Санкт-Петербург, Гороховая улица, д. 26, литера А",30.3197992,59.9302108
"41","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",30.3375562,59.9346057
"42","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",30.3375562,59.9346057
"43","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 18-19",30.3375562,59.9346057
"44","191186, г.Санкт-Петербург, Гороховая улица, д. 8/13, литера А",30.3118592,59.9355856
"45","191186, г.Санкт-Петербург, Большая Морская улица, д. 13, литера А",30.315814,59.935264
"46","191187, г.Санкт-Петербург, Литейный проспект, д. 11, литера А",30.347514,59.945118
"47","195176, г.Санкт-Петербург, шоссе Революции, д. 15, литера А",30.418819,59.95916
"48","195176, г.Санкт-Петербург, Панфилова улица, д. 26, литера А",30.417243,59.95244
"49","194356, г.Санкт-Петербург, улица Есенина, д. 22, к. 1, литера А",30.336631,60.046003
"50","193036, г.Санкт-Петербург, Невский проспект, д. 111/3, литера А",30.3125753,59.9368237
"51","190068, г.Санкт-Петербург, набережная реки Фонтанки, д. 137, литера А",30.302802,59.918807
"52","191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 3",30.3265151,59.9298431
"53","191011, г.Санкт-Петербург, Караванная улица, д. 8, литера А",30.3418212,59.936794
"54","190031, г.Санкт-Петербург, Спасский переулок, д. 1/46, литера А",30.3168528,59.9293626
"55","197101, г.Санкт-Петербург, Каменноостровский проспект, д. 16, литера А",30.317432,59.959384
"56","191040, г.Санкт-Петербург, Лиговский проспект, д. 56, литера А",30.357466,59.924388
"57","191014, г.Санкт-Петербург, улица Жуковского, д. 18, литера А",30.356377,59.936074
"58","198152, г.Санкт-Петербург, проспект Стачек, д. 74/1, литера А",30.2741161,59.8990268
"59","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"60","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"61","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"62","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"63","191186, г.Санкт-Петербург, Невский проспект, д. 22-24, литера А",30.3242128,59.9358955
"64","196070, г.Санкт-Петербург, Московский проспект, д. 179, литера А",30.320312,59.85876
