"","id","name","type","lon","lat"
"1","node/258370545","Балтийский банк","atm",33.1068493,68.9692898
"2","node/305880723","Петербургский городской банк","atm",30.333595,59.936015
"3","node/311101163","Сбербанк","atm",30.514585,60.572668
"4","node/322526238","РайффайзенБанк","atm",30.3364307,60.0534399
"5","node/322527203","БинБанк","atm",37.656174,55.744753
"6","node/339394774","Сбербанк","atm",30.514585,60.572668
"7","node/440732614","Сбербанк","atm",30.514585,60.572668
"8","node/845370783","Сбербанк","atm",30.514585,60.572668
"9","node/867559361","Альфа-Банк","atm",20.5081036,54.7116982
"10","node/867559362","Сбербанк","atm",30.514585,60.572668
"11","node/970695773","Сбербанк","atm",30.514585,60.572668
"12","node/970695842","Открытие","atm",30.2668474,59.9366411
"13","node/979036818","Альфа-банк","atm",20.5081036,54.7116982
"14","node/984971093","Альфа-Банк","atm",20.5081036,54.7116982
"15","node/991346721","Сбербанк","atm",30.514585,60.572668
"16","node/992454507","Альфа-Банк","atm",20.5081036,54.7116982
"17","node/993446652","Citibank","atm",-73.79308,40.71043
"18","node/1069041478","ВТБ24","atm",30.3790373,60.0443916
"19","node/1069054736","Балтийский Банк","atm",33.1068493,68.9692898
"20","node/1288674988","Транскапиталбанк","atm",30.326072,60.0101355
"21","node/1288959479","ВТБ 24","atm",30.3790373,60.0443916
"22","node/1288959495","банк санкт-петербург","atm",29.7035031,60.2059428
"23","node/1293163559","Сбербанк","atm",30.514585,60.572668
"24","node/1293163569","Балтийский банк","atm",33.1068493,68.9692898
"25","node/2130412353","Сбербанк","atm",30.514585,60.572668
"26","node/2153517558","Сбербанк","atm",30.514585,60.572668
"27","node/2197278598","ВТБ 24","atm",30.3790373,60.0443916
"28","node/2302485980","Приватбанк","atm",24.4372308,51.4399951
"29","node/2304931924","Сбербанк","atm",30.514585,60.572668
"30","node/2318678142","Сбербанк","atm",30.514585,60.572668
"31","node/2349394946","Сбербанк","atm",30.514585,60.572668
"32","node/2464150410","Сбербанк","atm",30.514585,60.572668
"33","node/2486916374","СГБ","atm",40.5292158,64.5406914
"34","node/2514544187","Сбербанк","atm",30.514585,60.572668
"35","node/2606286189","Сбербанк","atm",30.514585,60.572668
"36","node/2625726744","ЮниКредит Банк","atm",-73.975582,40.750784
"37","node/2625734987","ЮниКредит Банк","atm",-73.975582,40.750784
"38","node/2629468241","ЮниКредит Банк","atm",-73.975582,40.750784
"39","node/2629471783","ЮниКредит Банк","atm",-73.975582,40.750784
"40","node/2629471784","ЮниКредит Банк","atm",-73.975582,40.750784
"41","node/2629478869","ЮниКредит Банк","atm",-73.975582,40.750784
"42","node/2629484329","ЮниКредит Банк","atm",-73.975582,40.750784
"43","node/2629485089","ЮниКредит Банк","atm",-73.975582,40.750784
"44","node/2629485090","ЮниКредит Банк","atm",-73.975582,40.750784
"45","node/2629486786","ЮниКредит Банк","atm",-73.975582,40.750784
"46","node/2629488574","ЮниКредит Банк","atm",-73.975582,40.750784
"47","node/2629504629","ЮниКредит Банк","atm",-73.975582,40.750784
"48","node/2629523317","ЮниКредит Банк","atm",-73.975582,40.750784
"49","node/2629526006","ЮниКредит Банк","atm",-73.975582,40.750784
"50","node/2629529976","ЮниКредит Банк","atm",-73.975582,40.750784
"51","node/2629529977","ЮниКредит Банк","atm",-73.975582,40.750784
"52","node/2629588873","ЮниКредит","atm",37.6132557,55.7731021
"53","node/2629588888","ЮниКредит Банк","atm",-73.975582,40.750784
"54","node/2629591020","ЮниКредит Банк","atm",-73.975582,40.750784
"55","node/2629598567","ЮниКредит Банк","atm",-73.975582,40.750784
"56","node/2629598569","ЮниКредит Банк","atm",-73.975582,40.750784
"57","node/2629600586","ЮниКредит","atm",37.6132557,55.7731021
"58","node/2630814752","ЮниКредит Банк","atm",-73.975582,40.750784
"59","node/2630814753","ЮниКредит Банк","atm",-73.975582,40.750784
"60","node/2630820350","ЮниКредит Банк","atm",-73.975582,40.750784
